Debt Category,"Amount Outstanding inUSD","Amount Outstandingin NGN"
External Debt Stock (FGN + States),"8,264.34","1,287,170.96"
Domestic Debt Stock (FGN Only),"45,154.95","7,032,883.32"
Total,"53,419.29","8,320,054.28"
