,Debt Category,"Amount Outstanding inUSD","Amount Outstanding inNGN",Unnamed: 3,file,"Amount Outstandingin NGN",Amount Outstanding in NGN,Unnamed: 1,Amount Outstanding,Unnamed: 4,Amount Outstanding.1,Unnamed: 6,Unnamed: 0,Amount Outstanding (US$M),Amount Outstanding (NM),"Amount Outstanding(US$M)","Amount Outstanding(NM)",% of Total,Unnamed: 5,Unnamed: 2,"AmountOutstanding",Unnamed: 8,Unnamed: 10,"AmountOutstanding(NM)"
39,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,otal Public Debt(A+B),,,,,,,,,,,
40,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"81,274.09",,,,,,,,,,,
41,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"81,274.09",,,,,,,,,,,
42,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"24,947,080.59",,,,,,,,,,,
43,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"24,947,080.59",,,,,,,,,,,
44,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,100%,,,,,,,,,,,
45,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,100%,,,,,,,,,,,
0,Total External Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2950.csv,,,A.,,,,,,,,"27,162.63","8,322,629.83",32.38%,,,,,,
1,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2950.csv,,,,,,,,,,,"22,887.96","7,012,870.94",27.29%,,,,,,
2,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2950.csv,,,,,,,,,,,"4,274.67","1,309,758.89",5.10%,,,,,,
3,Total Domestic Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2950.csv,,,B.,,,,,,,,"56,720.03","17,379,015.91",67.62%,,,,,,
4,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2950.csv,,,,,,,,,,,"43,775.44","13,412,796.09",52.19%,,,,,,
5,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2950.csv,,,,,,,,,,,"12,944.58","3,966,219.82",15.43%,,,,,,
6,Total Public Debt(A+B),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2950.csv,,,C.,,,,,,,,"83,882.66","25,701,645.74",100%,,,,,,
0,"Total External Debt(FGN + States & FCT)",,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3043.csv,,,,,,,,A.,,,"26,941.50","8,271,040.50",31.55%,,,,,,
1,Total Domestic Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3043.csv,,,,,,,,B.,,,"58,449.32","17,943,940.63",68.45%,,,,,,
2,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3043.csv,,,,,,,,,,,"45,281.91","13,901,546.03",53.03%,,,,,,
3,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3043.csv,,,,,,,,,,,"13,167.41","4,042,394.60",15.42%,,,,,,
4,Total Public Debt(A+B),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3043.csv,,,,,,,,C.,,,"85,390.82","26,214,981.13",100%,,,,,,
0,Total External Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3123.csv,,,A.,,,,,,,,"27,676.14",,32.93%,,,"9,022,421.64",,,
1,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3123.csv,,,,,,,,,,,"23,111.27",,27.50%,,,"7,534,274.02",,,
2,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3123.csv,,,,,,,,,,,"4,564.87",,5.43%,,,"1,488,147.62",,,
3,Total Domestic Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3123.csv,,,B.,,,,,,,,"56,377.18",,67.07%,,,"18,378,959.65",,,
4,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3123.csv,,,,,,,,,,,"43,781.12",,52.09%,,,"14,272,644.79",,,
5,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3123.csv,,,,,,,,,,,"12,596.06",,14.99%,,,"4,106,314.86",,,
6,Total Public Debt(A+B),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3123.csv,,,C.,,,,,,,,"84,053.32",,100%,,,"27,401,381.29",,,
0,Total External Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3235.csv,,,,,,,,A.,,,"27,665.66","9,987,303.26",34.89%,,,,,,
1,Total Domestic Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3235.csv,,,,,,,,B.,,,"51,637.65","18,641,190.37",65.11%,,,,,,
2,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3235.csv,,,,,,,,,,,"40,262.46","14,534,746.84",50.77%,,,,,,
3,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3235.csv,,,,,,,,,,,"11,375.19","4,106,443.53",14.34%,,,,,,
4,Total Public Debt(A+B),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3235.csv,,,,,,,,C.,,,"79,303.31","28,628,493.63",100.00%,,,,,,
0,Total External Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3305.csv,,,A.,,,,,,,,"31,477.13",,36.65%,,,,,,"11,363,243.93"
1,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3305.csv,,,,,,,,,,,"27,214.08",,31.68%,,,,,,"9,824,282.88"
2,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3305.csv,,,,,,,,,,,"4,263.05",,4.96%,,,,,,"1,538,961.05"
3,Total Domestic Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3305.csv,,,B.,,,,,,,,"54,419.39",,63.35%,,,,,,"19,645,398.21"
4,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3305.csv,,,c.,,,,,,,,"42,813.57",,49.84%,,,,,,"15,455,699.13"
5,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3305.csv,,,D.,,,,,,,,"11,605.81",,13.51%,,,,,,"4,189,699.08"
6,Total Public Debt(A+B),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\3305.csv,,,E.,,,,,,,,"85,896.52",,100%,,,,,,"31,008,642.14"
0,External Debt Stock (FGN + States),"6,920.10",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\49.csv,"1,077,805.58",,,,,,,,,,,,,,,,,,
1,Domestic Debt Stock (FGN Only),"43,985.55",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\49.csv,"6,850,748.74",,,,,,,,,,,,,,,,,,
2,Total,"50,905.65",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\49.csv,"7,928,554.31",,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),,"1,460,297.92",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\50.csv,"9,377.11",,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),,"7,421,097.30",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\50.csv,"47,653.61",,,,,,,,,,,,,,,,,,
2,,Sub-Total,,"8,881,395.22",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\50.csv,"57,030.73",,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\50.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,,"1,551,650.13",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\50.csv,"9,963.72",,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\50.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"66,994.45",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\50.csv,"10,433,045.35",,,,,,,,,,,,,,,,,,
0,External Debt Stock (FGN + States),"8,264.34",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\51.csv,"1,287,170.96",,,,,,,,,,,,,,,,,,
1,Domestic Debt Stock (FGN Only),"45,154.95",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\51.csv,"7,032,883.32",,,,,,,,,,,,,,,,,,
2,Total,"53,419.29",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\51.csv,"8,320,054.28",,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),,"1,427,515.95",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\52.csv,"9,166.02",,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),,"7,183,176.75",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\52.csv,"46,122.88",,,,,,,,,,,,,,,,,,
2,,Sub-Total,,"8,610,692.70",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\52.csv,"55,288.90",,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\52.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,,"1,551,650.13",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\52.csv,"9,963.08",,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\52.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"65,251.98",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\52.csv,"10,162,342.83",,,,,,,,,,,,,,,,,,
0,External Debt Stock,"6,527.07",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\53.csv,"1,016,721.69",,,,,,,,,,,,,,,,,,
1,Domestic Debt Stock,"41,969.16",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\53.csv,"6,537,536.31",,,,,,,,,,,,,,,,,,
2,Total,"48,496.23",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\53.csv,"7,554,258.00",,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),,"2,031,897.80",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\54.csv,,"10,316.82",,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),,"8,396,591.57",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\54.csv,,"42,633.11",,,,,,,,,,,,,,,,,
2,,Sub-Total,,"10,428,489.36",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\54.csv,,"52,949.93",,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\54.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,,"1,690,360.09",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\54.csv,,"10,856.52",,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\54.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"63,806.45",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\54.csv,,"12,118,849.45",,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"9,518.95","1,482,576.46",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\55.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"49,124.23","7,651,098.82",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\55.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"58,643.18","9,133,675.28",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\55.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\55.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"10,967.06","1,707,571.14",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\55.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\55.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"69,610.24","10,841,246.42",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\55.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"10,617.35","2,091,087.08",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\56.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"43,727.99","8,612,228.36",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\56.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"54,345.34","10,703,315.44",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\56.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\56.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"9,852.25","1,655,178.71",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\56.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\56.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"64,197.60","12,358,494.15",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\56.csv,,,,,,,,,,,,,,,,,,,
0,External Debt Stock,"6,670.72","1,038,964.64",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\57.csv,,,,,,,,,,,,,,,,,,,
1,Domestic Debt Stock,"41,690.65","6,493,318.88",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\57.csv,,,,,,,,,,,,,,,,,,,
2,Total,"48,361.37","7,532,283.52",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\57.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"9,711.45","1,631,523.60",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\58.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"47,047.77","7,904,025.47",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\58.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"56,759.22","9,535,549.07",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\58.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\58.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States,"10,967.06","1,707,571.14",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\58.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\58.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"67,726.28","11,243,120.22",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\58.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"9,711.45","1,631,523.60",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\59.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"47,047.77","7,904,025.47",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\59.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"56,759.22","9,535,549.07",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\59.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\59.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States,"10,967.06","1,707,571.14",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\59.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\59.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"67,726.28","11,243,120.22",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\59.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"10,718.43","2,111,530.71",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\60.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"44,857.85","8,836,995.86",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\60.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"55,576.28","10,948,526.57",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\60.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\60.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"9,852.25","1,655,178.71",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\60.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\60.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"65,428.53","12,603,705.28",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\60.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),,"1,373,569.83",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\61.csv,"8,821.90",,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),,"7,118,978.86",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\61.csv,"45,722.41",,,,,,,,,,,,,,,,,,
2,,Sub-Total,,"8,492,548.69",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\61.csv,"54,544.31",,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\61.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,,"1,551,650.13",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\61.csv,"9,965.64",,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\61.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"64,509.95",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\61.csv,"10,044,198.82",,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"9,464.11","1,864,429.67",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\62.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"43,185.51","8,507,545.47",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\62.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"52,649.62","10,371,975.14",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\62.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\62.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"10,856.52","1,690,360.09",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\62.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\62.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"63,506.14","12,062,335.23",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\62.csv,,,,,,,,,,,,,,,,,,,
