Debt Category,"Amount Outstanding inUSD","Amount Outstanding inNGN",
"",,,
A,External Debt Stock (FGN + States),"15,047.00","4,602,877.30"
"",Domestic Debt Stock (FGN only),"39,337.86","12,033,450.02"
"",Sub-Total,"54,384.86","16,636,327.32"
B,Domestic Debt of States,"9,809.27","3,000,655.34"
C,Grand Total,"64,194.13","19,636,982.66"
