Debt Category,"Amount Outstanding inUSD","Amount Outstandingin NGN",
A.,External Debt Stock (FGN + States),"9,377.11","1,460,297.92"
"",Domestic Debt Stock (FGN Only),"47,653.61","7,421,097.30"
"",Sub-Total,"57,030.73","8,881,395.22"
B.,,,
"",Domestic Debt of States*,"9,963.72","1,551,650.13"
C.,,,
Grand-Total (A+B),"66,994.45","10,433,045.35",
