Debt Category,"Amount Outstanding inUSD",Amount Outstanding in NGN,
A.,External Debt Stock (FGN + States),"10,316.82","2,031,897.80"
"",Domestic Debt Stock (FGN Only),"42,633.11","8,396,591.57"
"",Sub-Total,"52,949.93","10,428,489.36"
B.,,,
"",Domestic Debt of States*,"10,856.52","1,690,360.09"
C.,,,
Grand-Total (A+B),"63,806.45","12,118,849.45",
