Debt Category,"Amount Outstanding inUSD","Amount Outstandingin NGN"
External Debt Stock,"6,527.07","1,016,721.69"
Domestic Debt Stock,"41,969.16","6,537,536.31"
Total,"48,496.23","7,554,258.00"
