Debt Category,"Amount Outstanding inUSD","Amount Outstandingin NGN",
A.,External Debt Stock (FGN + States),"9,166.02","1,427,515.95"
"",Domestic Debt Stock (FGN Only),"46,122.88","7,183,176.75"
"",Sub-Total,"55,288.90","8,610,692.70"
B.,,,
"",Domestic Debt of States*,"9,963.08","1,551,650.13"
C.,,,
Grand-Total (A+B),"65,251.98","10,162,342.83",
