Debt Category,"Amount Outstanding inUSD","Amount Outstandingin NGN"
External Debt Stock (FGN + States),"6,920.10","1,077,805.58"
Domestic Debt Stock (FGN Only),"43,985.55","6,850,748.74"
Total,"50,905.65","7,928,554.31"
