Debt Category,"Amount Outstanding inUSD","Amount Outstandingin NGN",
A.,External Debt Stock (FGN + States),"15,352.13","4,693,913.75"
"",Domestic Debt Stock (FGN Only),"40,869.29","12,495,784.04"
"",Sub-Total,"56,221.42","17,189,697.78"
B.,,,
"",Domestic Debt of States*,"10,412.86","3,183,730.80"
C.,,,
Grand-Total (A+B),"66,634.27","20,373,428.59",
