Debt Category,"Amount Outstanding inUSD","Amount Outstanding inNGN",
A.,External Debt Stock (FGN + States),"9,711.45","1,631,523.60"
"",Domestic Debt Stock (FGN Only),"47,047.77","7,904,025.47"
"",Sub-Total,"56,759.22","9,535,549.07"
B.,,,
"",Domestic Debt of States,"10,967.06","1,707,571.14"
C.,,,
Grand-Total (A+B),"67,726.28","11,243,120.22",
