Debt Category,"Amount Outstanding inUSD","Amount Outstanding inNGN"
External Debt Stock,"6,670.72","1,038,964.64"
Domestic Debt Stock,"41,690.65","6,493,318.88"
Total,"48,361.37","7,532,283.52"
