Debt Category,"Amount Outstanding inUSD","Amount Outstandingin NGN",
A.,External Debt Stock (FGN + States),"8,821.90","1,373,569.83"
"",Domestic Debt Stock (FGN Only),"45,722.41","7,118,978.86"
"",Sub-Total,"54,544.31","8,492,548.69"
B.,,,
"",Domestic Debt of States*,"9,965.64","1,551,650.13"
C.,,,
Grand-Total (A+B),"64,509.95","10,044,198.82",
